bits,seed,algorithm,n,success,runtime_seconds,iteration_count,gcd_calls,modular_multiplies
20,33,smt_convolution_b16,441901,True,0.019282,1,0,5
20,33,smt_convolution_b256,441901,True,0.014573,1,0,3
20,34,smt_convolution_raw,474457,True,0.018677,1,0,0
20,34,smt_convolution_b16,474457,True,0.01826,1,0,5
20,34,smt_convolution_b256,474457,True,0.019501,1,0,3
20,35,smt_convolution_raw,497543,True,0.02737,1,0,0
20,35,smt_convolution_b16,497543,True,0.025948,1,0,5
20,35,smt_convolution_b256,497543,True,0.015957,1,0,3
20,36,smt_convolution_raw,561293,True,0.019797,1,0,0
20,36,smt_convolution_b16,561293,True,0.020142,1,0,5
20,36,smt_convolution_b256,561293,True,0.027042,1,0,3
20,37,smt_convolution_raw,558361,True,0.027667,1,0,0
20,37,smt_convolution_b16,558361,True,0.018658,1,0,5
20,37,smt_convolution_b256,558361,True,0.018693,1,0,3
20,38,smt_convolution_raw,476941,True,0.02477,1,0,0
20,38,smt_convolution_b16,476941,True,0.028476,1,0,5
20,38,smt_convolution_b256,476941,True,0.020197,1,0,3
20,39,smt_convolution_raw,659389,True,0.02866,1,0,0
20,39,smt_convolution_b16,659389,True,0.024989,1,0,5
20,39,smt_convolution_b256,659389,True,0.015956,1,0,3
20,40,smt_convolution_raw,387229,True,0.024983,1,0,0
20,40,smt_convolution_b16,387229,True,0.022438,1,0,5
20,40,smt_convolution_b256,387229,True,0.01949,1,0,3
20,41,smt_convolution_raw,582599,True,0.026365,1,0,0
20,41,smt_convolution_b16,582599,True,0.033232,1,0,5
20,41,smt_convolution_b256,582599,True,0.026685,1,0,3
20,42,smt_convolution_raw,370817,True,0.023802,1,0,0
20,42,smt_convolution_b16,370817,True,0.016515,1,0,5
20,42,smt_convolution_b256,370817,True,0.01941,1,0,3
20,43,smt_convolution_raw,647797,True,0.022097,1,0,0
20,43,smt_convolution_b16,647797,True,0.022392,1,0,5
20,43,smt_convolution_b256,647797,True,0.025207,1,0,3
20,44,smt_convolution_raw,634877,True,0.031354,1,0,0
20,44,smt_convolution_b16,634877,True,0.011399,1,0,5
20,44,smt_convolution_b256,634877,True,0.027911,1,0,3
20,45,smt_convolution_raw,706957,True,0.015918,1,0,0
20,45,smt_convolution_b16,706957,True,0.01914,1,0,5
20,45,smt_convolution_b256,706957,True,0.023392,1,0,3
20,46,smt_convolution_raw,529481,True,0.025401,1,0,0
20,46,smt_convolution_b16,529481,True,0.024781,1,0,5
20,46,smt_convolution_b256,529481,True,0.022219,1,0,3
20,47,smt_convolution_raw,549881,True,0.030284,1,0,0
20,47,smt_convolution_b16,549881,True,0.024895,1,0,5
20,47,smt_convolution_b256,549881,True,0.019602,1,0,3
20,48,smt_convolution_raw,369437,True,0.022492,1,0,0
20,48,smt_convolution_b16,369437,True,0.0284,1,0,5
20,48,smt_convolution_b256,369437,True,0.016092,1,0,3
20,49,smt_convolution_raw,432521,True,0.01565,1,0,0
20,49,smt_convolution_b16,432521,True,0.021517,1,0,5
20,49,smt_convolution_b256,432521,True,0.015329,1,0,3
24,0,smt_convolution_raw,6880217,True,0.06382,1,0,0
